From,To,Count
0,1760,3
2,2693,6
3,2720,2
3,3119,2
3,5212,2
4,489,13
4,753,1
4,775,1
4,964,1
4,1019,2
4,1049,1
4,1142,2
4,1669,1
4,2066,1
4,2209,2
4,2294,1
4,2522,10
4,2537,1
4,2554,4
4,2665,3
4,2750,1
4,2999,1
4,3002,1
4,3062,9
4,3108,1
4,3193,1
4,3344,1
4,3417,2
4,3863,11
4,4275,1
4,4391,1
4,4404,4
4,4656,2
4,4845,1
4,4952,2
4,5194,2
4,5207,1
4,5223,1
4,5277,1
4,5341,7
4,5462,3
4,5569,1
4,5732,1
4,5837,1
4,5898,1
4,5939,2
4,6093,2
4,6148,1
4,6290,2
4,6505,3
5,2720,6
6,5215,7
7,3863,4
7,5818,1
8,3040,1
8,3079,1
8,3863,8
9,2720,11
9,5215,5
10,2720,9
10,5215,1
11,171,4
13,510,1
14,544,24
15,3353,1
15,3831,2
15,5981,1
16,1313,3
16,3344,3
17,3497,6
19,6546,3
20,2720,3
20,5983,3
21,1026,8
22,1150,25
22,1528,15
22,3732,9
22,5114,6
23,265,1
23,1164,1
23,2665,1
23,6148,2
24,609,3
24,1313,3
24,3344,3
25,1341,12
26,26,1
27,2771,1
27,3040,1
27,4050,2
27,5099,1
28,1648,3
29,1710,6
32,1926,4
36,1742,2
37,2209,81
37,3798,2
37,6522,2
38,145,1
39,6537,2
40,2652,19
41,362,2
41,1231,2
41,1282,2
41,1843,10
41,2720,87
41,5596,2
41,6180,2
42,2967,1
43,2209,4
43,2944,6
44,2980,9
45,3004,5
46,3029,24
47,3043,2
48,3297,9
49,2502,3
49,3344,53
50,3417,22
51,3419,3
52,3457,5
53,99,3
53,693,7
53,1398,1
53,3477,27
53,4119,2
53,5509,4
53,6013,1
53,6118,1
54,1710,2
54,2570,1
54,5341,4
54,5697,1
55,3609,6
56,56,2
57,6056,2
58,3417,2
58,4544,2
58,5668,2
59,4040,2
60,4042,18
61,4073,10
63,4137,72
64,2720,1
64,3798,1
64,5983,2
65,4190,23
68,5509,8
70,70,2
71,4089,6
72,4476,1
73,5133,3
74,5509,4
75,5462,7
76,5509,28
77,5559,3
77,5693,3
78,5569,7
79,5693,2
80,5726,9
81,1440,1
81,2163,1
81,4050,1
81,6122,3
82,2209,2
82,3206,2
82,4913,2
83,5990,9
84,536,27
84,5693,27
84,6005,27
85,6056,40
86,5509,4
86,6096,4
87,1150,12
88,88,1
88,2513,1
88,6431,3
89,1302,1
90,1118,2
91,4073,2
91,5577,1
93,93,1
93,127,3
93,463,4
93,1415,4
93,2442,2
93,4215,4
93,4973,4
93,5260,2
93,6212,2
93,6395,2
94,5509,6
95,3417,1
95,4177,3
95,4421,5
97,2720,1
97,5212,6
98,1351,1
98,1569,3
98,4038,3
98,4177,1
98,5606,1
98,6312,1
99,1398,1
99,2209,1
100,5426,2
101,4040,2
103,171,1
103,583,2
103,3248,14
103,5352,2
103,5918,6
103,5983,1
103,6322,4
104,3040,1
104,3863,2
104,5223,2
104,6093,1
105,3032,8
106,1847,1
108,1847,8
109,1125,3
109,1919,3
111,3029,3
111,3171,1
112,1648,3
112,4073,8
112,4177,4
112,4969,3
112,5509,2
113,5796,3
114,5577,5
115,200,3
115,505,3
115,2693,2
116,2980,1
116,3029,3
116,3457,1
117,117,2
117,583,2
118,885,3
118,5462,3
119,2693,5
120,293,1
120,696,4
120,1025,1
120,3108,8
120,6434,2
121,321,1
121,650,6
121,1426,12
121,2669,1
121,2788,9
121,2791,26
121,3004,23
121,3251,5
121,3483,5
121,3488,6
121,3851,6
121,3863,12
121,4304,10
121,4432,3
121,4939,15
121,4942,23
121,5099,18
121,5326,17
121,5462,6
121,5577,4
121,6280,1
122,1769,3
122,2632,3
123,1753,4
124,4057,5
124,5341,1
124,5818,11
124,6290,2
126,5924,3
127,93,7
127,127,7
127,463,7
127,1415,7
127,2442,7
127,4215,2
127,4363,1
127,4973,7
127,5260,6
127,5639,1
127,6212,7
127,6395,6
128,1559,3
128,2139,2
128,2201,3
128,2587,3
128,4044,2
128,5130,3
128,5194,6
128,5223,12
128,5462,15
128,6093,7
130,3609,1
130,3897,2
130,4526,2
132,544,3
132,4083,8
133,606,1
133,609,1
133,1068,1
133,1919,29
133,2346,1
133,2720,2
133,2975,3
133,3344,1
133,3445,1
133,3787,1
133,4078,1
133,4358,1
133,4391,5
133,5430,1
